DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2015-0525-GBR,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Storm Desmond (Ted),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Lancashire, Cumbria district (England province); Kendal, Keswick, Appleby cities (Cumbria district) Hexham (Northumberland district) (England province)",,Flood,No,No,No,,,Kph,,,,2015,12,4,2015,12,6,3,,15600,,15600,,,884000,1136443,1200000,1542683,77.78656766,"[{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40118,""adm2_name"":""Lancashire""},{""adm2_code"":40125,""adm2_name"":""Northumberland""}]",2015-12-07,2023-09-25
2015-0561-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"York city (North Yorkshire district, England province) ; Lancashire, Greater Manchester districts (England province), Humberside, North Yorkshire, South Yorkshire, West Yorkshire district (Yorkshire, England province)","Heavy rains, Storms Eva ad Franck",,No,No,No,,,Km2,,,"Calder, Ribble, Nidd, Irwell, Ouse, Foss, Aire rivers",2015,12,26,2015,12,26,,,48000,,48000,,,1000000,1285569,1200000,1542683,77.78656766,"[{""adm2_code"":40111,""adm2_name"":""Greater Manchest""},{""adm2_code"":40115,""adm2_name"":""Humberside""},{""adm2_code"":40118,""adm2_name"":""Lancashire""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40130,""adm2_name"":""South Yorkshire""}]",2016-01-06,2023-09-25
2017-0490-GBR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4543,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Galgate (Lancashire) ,Lancaster, Appleby-in-Westmorland (Cumbria), Craven ( North Yorkshire), Llangefni, Conwy (Anglesey-Gwynedd)",Heavy rains,,No,No,No,,,Km2,53.102,-6.856,"Conder, Eden",2017,11,22,2017,11,26,,,70,,70,,,,,,,80.44577926,"[{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40118,""adm2_name"":""Lancashire""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40182,""adm2_name"":""Gwynedd""}]",2017-11-28,2023-09-25
2018-0002-GBR,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,Eleanor,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Northern Ireland, England (Cornwall, Birmingham), Wales, Southern part of Scotland",,Surge,No,No,No,,,Kph,,,,2018,1,2,2018,1,3,,4,,,4,,,,,,,82.41066796,"[{""adm1_code"":3182,""adm1_name"":""England""},{""adm1_code"":3183,""adm1_name"":""Northern Ireland""},{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm1_code"":3186,""adm1_name"":""Wales""}]",2018-01-05,2023-09-25
2018-0235-GBR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,33.2,°C,,,,2018,6,30,2018,7,10,,,,,,,,,,,,82.41066796,,2018-07-26,2023-09-25
2019-0296-GBR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cornwall, Manchester",,,No,No,No,,,°C,,,,2019,6,26,2019,6,30,5,,,,,,,,,,,83.90417006,"[{""adm2_code"":40101,""adm2_name"":""Cornwall""},{""adm2_code"":40111,""adm2_name"":""Greater Manchest""}]",2019-07-05,2023-09-25
2019-0568-GBR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"South Yorkhire, Nottinghamshire, Derbyshire,",,,No,No,No,,,Km2,,,,2019,11,7,2019,11,8,1,,100,,100,,,142000,169241,,,83.90417006,"[{""adm2_code"":40103,""adm2_name"":""Derbyshire""},{""adm2_code"":40126,""adm2_name"":""Nottinghamshire""},{""adm2_code"":40130,""adm2_name"":""South Yorkshire""}]",2019-11-25,2024-10-25
2019-0650-GBR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,38.7,°C,,,,2019,7,21,2019,8,28,161,,,,,,,,,,,83.90417006,,2020-04-06,2023-09-25
2020-0051-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Ciara' (Sabine),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Needles (Isles of Wight); Honister Pass (Cumbria); Micheldever, Hampshire; Clydebank, West Dumbartonshire (Scotland); Woolton, Liverpool; Isle of Man; Ireland",,,No,No,No,,,Kph,,,,2020,2,8,2020,2,8,2,,,,,,,,,,,84.93919813,"[{""adm2_code"":40094,""adm2_name"":""Avon""},{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40112,""adm2_name"":""Hampshire""},{""adm2_code"":40116,""adm2_name"":""Isle of Wight""},{""adm2_code"":40121,""adm2_name"":""Merseyside""},{""adm2_code"":40176,""adm2_name"":""Strathclyde""}]",2020-02-10,2023-09-25
2020-0069-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"East Cowick (East Yorkshire), Ironbridge area of Shropshire County (West Midlands), Lower Dee Valley (northern Wales)",Heavy rains,,No,No,No,,,Km2,,,"Aire, Severn rivers",2020,2,28,2020,2,28,,,480,,480,,,,,,,84.93919813,"[{""adm2_code"":40115,""adm2_name"":""Humberside""},{""adm2_code"":40136,""adm2_name"":""West Midlands""},{""adm2_code"":40179,""adm2_name"":""Clwyd""}]",2020-02-28,2024-04-12
2020-0530-GBR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,°C,,,,2020,6,,2020,8,,2556,,,,,,,,,,,84.93919813,"[{""adm1_code"":3182,""adm1_name"":""England""},{""adm1_code"":3183,""adm1_name"":""Northern Ireland""},{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm1_code"":3186,""adm1_name"":""Wales""}]",2020-12-04,2023-09-25
2021-0687-GBR,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Storm 'Aurore' (Hendrick),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,2021,10,21,2021,10,21,1,,,,,,,,,,,88.92949348,,2022-01-20,2023-09-25
2022-0081-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Scotland,,,No,No,No,,,Kph,,,,2022,1,28,2022,1,31,2,,,,,,,,,,,96.04634213,"[{""adm1_code"":3184,""adm1_name"":""Scotland""}]",2022-02-09,2024-04-23
2022-0097-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cumbria, North Yorkshire, and Lancashire; Scotland, West Midlands County",,,No,No,No,,130,Kph,,,,2022,2,16,2022,2,17,1,,,,,,,,,,,96.04634213,"[{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40118,""adm2_name"":""Lancashire""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40136,""adm2_name"":""West Midlands""}]",2022-02-18,2024-04-23
2022-0112-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Eunice' (Zeynep),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,196,Kph,,,,2022,2,18,2022,2,18,3,,,,,,,,,491342,511568,96.04634213,,2022-02-24,2023-09-25
2022-0465-GBR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,40.3,°C,,,,2022,5,30,2022,9,4,3469,,,,,,,,,,,96.04634213,,2022-07-28,2023-09-26
2022-9405-GBR,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,Yes,,,Km2,,,,2022,4,,2022,8,,,,,,,,,,,,,96.04634213,,2022-08-19,2023-09-26
2023-0438-GBR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,°C,,,,2023,7,,2023,8,,1851,,,,,,,,,,,100,,2024-08-16,2024-10-01
2023-0724-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Ciaran',GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,150,Kph,,,,2023,11,2,2023,11,3,,,,,,,,,,,,100,,2023-11-10,2023-12-07
2024-0867-GBR,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Storm 'Bert' & 'Conall (Sigrid & Telse),GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Southern England and Wales,,Flood,No,No,No,,110,Kph,,,,2024,11,23,2024,11,27,5,,750,,750,,,,,,,,,2024-11-25,2024-11-29
